,sentence,table,location,month
3781,there are 325 total recovered cases in cruise ship in march.,total recovered,cruise ship,march
3782,there are 325 recovered cases in cruise ship in march.,total recovered,cruise ship,march
3783,there are 325 total recovered cases in cruise ship .,total recovered,cruise ship,march
3784,there are 325 recovered cases in cruise ship .,total recovered,cruise ship,march
3785,there are 0 total recovered cases in cuba in january.,total recovered,cuba,january
3786,there are 0 recovered cases in cuba in january.,total recovered,cuba,january
3787,there are 0 total recovered cases in cuba in february.,total recovered,cuba,february
3788,there are 0 recovered cases in cuba in february.,total recovered,cuba,february
3789,there are 0 total recovered cases in cuba in march.,total recovered,cuba,march
3790,there are 0 recovered cases in cuba in march.,total recovered,cuba,march
3791,there are 0 total recovered cases in cuba .,total recovered,cuba,march
3792,there are 0 recovered cases in cuba .,total recovered,cuba,march
3793,there are 0 total recovered cases in cyprus in january.,total recovered,cyprus,january
3794,there are 0 recovered cases in cyprus in january.,total recovered,cyprus,january
3795,there are 0 total recovered cases in cyprus in february.,total recovered,cyprus,february
3796,there are 0 recovered cases in cyprus in february.,total recovered,cyprus,february
3797,there are 0 total recovered cases in cyprus in march.,total recovered,cyprus,march
3798,there are 0 recovered cases in cyprus in march.,total recovered,cyprus,march
3799,there are 0 total recovered cases in cyprus .,total recovered,cyprus,march
3800,there are 0 recovered cases in cyprus .,total recovered,cyprus,march
3801,there are 0 total recovered cases in czechia in january.,total recovered,czechia,january
3802,there are 0 recovered cases in czechia in january.,total recovered,czechia,january
3803,there are 0 total recovered cases in czechia in february.,total recovered,czechia,february
3804,there are 0 recovered cases in czechia in february.,total recovered,czechia,february
3805,there are 6 total recovered cases in czechia in march.,total recovered,czechia,march
3806,there are 6 recovered cases in czechia in march.,total recovered,czechia,march
3807,there are 6 total recovered cases in czechia .,total recovered,czechia,march
3808,there are 6 recovered cases in czechia .,total recovered,czechia,march
3809,there are 0 total recovered cases in denmark in january.,total recovered,denmark,january
3810,there are 0 recovered cases in denmark in january.,total recovered,denmark,january
3811,there are 0 total recovered cases in denmark in february.,total recovered,denmark,february
3812,there are 0 recovered cases in denmark in february.,total recovered,denmark,february
3813,there are 1 total recovered cases in denmark in march.,total recovered,denmark,march
3814,there are 1 recovered cases in denmark in march.,total recovered,denmark,march
3815,there are 1 total recovered cases in denmark .,total recovered,denmark,march
3816,there are 1 recovered cases in denmark .,total recovered,denmark,march
3817,there are 0 total recovered cases in dominican republic in january.,total recovered,dominican republic,january
3818,there are 0 recovered cases in dominican republic in january.,total recovered,dominican republic,january
3819,there are 0 total recovered cases in dominican republic in february.,total recovered,dominican republic,february
3820,there are 0 recovered cases in dominican republic in february.,total recovered,dominican republic,february
3821,there are 0 total recovered cases in dominican republic in march.,total recovered,dominican republic,march
3822,there are 0 recovered cases in dominican republic in march.,total recovered,dominican republic,march
3823,there are 0 total recovered cases in dominican republic .,total recovered,dominican republic,march
3824,there are 0 recovered cases in dominican republic .,total recovered,dominican republic,march
3825,there are 0 total recovered cases in ecuador in january.,total recovered,ecuador,january
3826,there are 0 recovered cases in ecuador in january.,total recovered,ecuador,january
3827,there are 0 total recovered cases in ecuador in february.,total recovered,ecuador,february
3828,there are 0 recovered cases in ecuador in february.,total recovered,ecuador,february
3829,there are 3 total recovered cases in ecuador in march.,total recovered,ecuador,march
3830,there are 3 recovered cases in ecuador in march.,total recovered,ecuador,march
3831,there are 3 total recovered cases in ecuador .,total recovered,ecuador,march
3832,there are 3 recovered cases in ecuador .,total recovered,ecuador,march
3833,there are 0 total recovered cases in egypt in january.,total recovered,egypt,january
3834,there are 0 recovered cases in egypt in january.,total recovered,egypt,january
3835,there are 1 total recovered cases in egypt in february.,total recovered,egypt,february
3836,there are 1 recovered cases in egypt in february.,total recovered,egypt,february
3837,there are 41 total recovered cases in egypt in march.,total recovered,egypt,march
3838,there are 41 recovered cases in egypt in march.,total recovered,egypt,march
3839,there are 41 total recovered cases in egypt .,total recovered,egypt,march
3840,there are 41 recovered cases in egypt .,total recovered,egypt,march
3841,there are 0 total recovered cases in equatorial guinea in january.,total recovered,equatorial guinea,january
3842,there are 0 recovered cases in equatorial guinea in january.,total recovered,equatorial guinea,january
3843,there are 0 total recovered cases in equatorial guinea in february.,total recovered,equatorial guinea,february
3844,there are 0 recovered cases in equatorial guinea in february.,total recovered,equatorial guinea,february
3845,there are 0 total recovered cases in equatorial guinea in march.,total recovered,equatorial guinea,march
3846,there are 0 recovered cases in equatorial guinea in march.,total recovered,equatorial guinea,march
3847,there are 0 total recovered cases in equatorial guinea .,total recovered,equatorial guinea,march
3848,there are 0 recovered cases in equatorial guinea .,total recovered,equatorial guinea,march
3849,there are 0 total recovered cases in estonia in january.,total recovered,estonia,january
3850,there are 0 recovered cases in estonia in january.,total recovered,estonia,january
3851,there are 0 total recovered cases in estonia in february.,total recovered,estonia,february
3852,there are 0 recovered cases in estonia in february.,total recovered,estonia,february
3853,there are 1 total recovered cases in estonia in march.,total recovered,estonia,march
3854,there are 1 recovered cases in estonia in march.,total recovered,estonia,march
3855,there are 1 total recovered cases in estonia .,total recovered,estonia,march
3856,there are 1 recovered cases in estonia .,total recovered,estonia,march
3857,there are 0 total recovered cases in eswatini in january.,total recovered,eswatini,january
3858,there are 0 recovered cases in eswatini in january.,total recovered,eswatini,january
3859,there are 0 total recovered cases in eswatini in february.,total recovered,eswatini,february
3860,there are 0 recovered cases in eswatini in february.,total recovered,eswatini,february
3861,there are 0 total recovered cases in eswatini in march.,total recovered,eswatini,march
3862,there are 0 recovered cases in eswatini in march.,total recovered,eswatini,march
3863,there are 0 total recovered cases in eswatini .,total recovered,eswatini,march
3864,there are 0 recovered cases in eswatini .,total recovered,eswatini,march
3865,there are 0 total recovered cases in ethiopia in january.,total recovered,ethiopia,january
3866,there are 0 recovered cases in ethiopia in january.,total recovered,ethiopia,january
3867,there are 0 total recovered cases in ethiopia in february.,total recovered,ethiopia,february
3868,there are 0 recovered cases in ethiopia in february.,total recovered,ethiopia,february
3869,there are 0 total recovered cases in ethiopia in march.,total recovered,ethiopia,march
3870,there are 0 recovered cases in ethiopia in march.,total recovered,ethiopia,march
3871,there are 0 total recovered cases in ethiopia .,total recovered,ethiopia,march
3872,there are 0 recovered cases in ethiopia .,total recovered,ethiopia,march
3873,there are 0 total recovered cases in finland in january.,total recovered,finland,january
3874,there are 0 recovered cases in finland in january.,total recovered,finland,january
3875,there are 1 total recovered cases in finland in february.,total recovered,finland,february
3876,there are 1 recovered cases in finland in february.,total recovered,finland,february
3877,there are 10 total recovered cases in finland in march.,total recovered,finland,march
3878,there are 10 recovered cases in finland in march.,total recovered,finland,march
3879,there are 10 total recovered cases in finland .,total recovered,finland,march
3880,there are 10 recovered cases in finland .,total recovered,finland,march
3881,there are 0 total recovered cases in france in january.,total recovered,france,january
3882,there are 0 recovered cases in france in january.,total recovered,france,january
3883,there are 12 total recovered cases in france in february.,total recovered,france,february
3884,there are 12 recovered cases in france in february.,total recovered,france,february
3885,there are 12 total recovered cases in france in march.,total recovered,france,march
3886,there are 12 recovered cases in france in march.,total recovered,france,march
3887,there are 12 total recovered cases in france .,total recovered,france,march
3888,there are 12 recovered cases in france .,total recovered,france,march
3889,there are 0 total recovered cases in gabon in january.,total recovered,gabon,january
3890,there are 0 recovered cases in gabon in january.,total recovered,gabon,january
3891,there are 0 total recovered cases in gabon in february.,total recovered,gabon,february
3892,there are 0 recovered cases in gabon in february.,total recovered,gabon,february
3893,there are 0 total recovered cases in gabon in march.,total recovered,gabon,march
3894,there are 0 recovered cases in gabon in march.,total recovered,gabon,march
3895,there are 0 total recovered cases in gabon .,total recovered,gabon,march
3896,there are 0 recovered cases in gabon .,total recovered,gabon,march
3897,there are 0 total recovered cases in georgia in january.,total recovered,georgia,january
3898,there are 0 recovered cases in georgia in january.,total recovered,georgia,january
3899,there are 0 total recovered cases in georgia in february.,total recovered,georgia,february
3900,there are 0 recovered cases in georgia in february.,total recovered,georgia,february
3901,there are 1 total recovered cases in georgia in march.,total recovered,georgia,march
3902,there are 1 recovered cases in georgia in march.,total recovered,georgia,march
3903,there are 1 total recovered cases in georgia .,total recovered,georgia,march
3904,there are 1 recovered cases in georgia .,total recovered,georgia,march
3905,there are 0 total recovered cases in germany in january.,total recovered,germany,january
3906,there are 0 recovered cases in germany in january.,total recovered,germany,january
3907,there are 16 total recovered cases in germany in february.,total recovered,germany,february
3908,there are 16 recovered cases in germany in february.,total recovered,germany,february
3909,there are 233 total recovered cases in germany in march.,total recovered,germany,march
3910,there are 233 recovered cases in germany in march.,total recovered,germany,march
3911,there are 233 total recovered cases in germany .,total recovered,germany,march
3912,there are 233 recovered cases in germany .,total recovered,germany,march
3913,there are 0 total recovered cases in ghana in january.,total recovered,ghana,january
3914,there are 0 recovered cases in ghana in january.,total recovered,ghana,january
3915,there are 0 total recovered cases in ghana in february.,total recovered,ghana,february
3916,there are 0 recovered cases in ghana in february.,total recovered,ghana,february
3917,there are 0 total recovered cases in ghana in march.,total recovered,ghana,march
3918,there are 0 recovered cases in ghana in march.,total recovered,ghana,march
3919,there are 0 total recovered cases in ghana .,total recovered,ghana,march
3920,there are 0 recovered cases in ghana .,total recovered,ghana,march
3921,there are 0 total recovered cases in greece in january.,total recovered,greece,january
3922,there are 0 recovered cases in greece in january.,total recovered,greece,january
3923,there are 0 total recovered cases in greece in february.,total recovered,greece,february
3924,there are 0 recovered cases in greece in february.,total recovered,greece,february
3925,there are 19 total recovered cases in greece in march.,total recovered,greece,march
3926,there are 19 recovered cases in greece in march.,total recovered,greece,march
3927,there are 19 total recovered cases in greece .,total recovered,greece,march
3928,there are 19 recovered cases in greece .,total recovered,greece,march
3929,there are 0 total recovered cases in guatemala in january.,total recovered,guatemala,january
3930,there are 0 recovered cases in guatemala in january.,total recovered,guatemala,january
3931,there are 0 total recovered cases in guatemala in february.,total recovered,guatemala,february
3932,there are 0 recovered cases in guatemala in february.,total recovered,guatemala,february
3933,there are 0 total recovered cases in guatemala in march.,total recovered,guatemala,march
3934,there are 0 recovered cases in guatemala in march.,total recovered,guatemala,march
3935,there are 0 total recovered cases in guatemala .,total recovered,guatemala,march
3936,there are 0 recovered cases in guatemala .,total recovered,guatemala,march
3937,there are 0 total recovered cases in guinea in january.,total recovered,guinea,january
3938,there are 0 recovered cases in guinea in january.,total recovered,guinea,january
3939,there are 0 total recovered cases in guinea in february.,total recovered,guinea,february
3940,there are 0 recovered cases in guinea in february.,total recovered,guinea,february
3941,there are 0 total recovered cases in guinea in march.,total recovered,guinea,march
3942,there are 0 recovered cases in guinea in march.,total recovered,guinea,march
3943,there are 0 total recovered cases in guinea .,total recovered,guinea,march
3944,there are 0 recovered cases in guinea .,total recovered,guinea,march
3945,there are 0 total recovered cases in guyana in january.,total recovered,guyana,january
3946,there are 0 recovered cases in guyana in january.,total recovered,guyana,january
3947,there are 0 total recovered cases in guyana in february.,total recovered,guyana,february
3948,there are 0 recovered cases in guyana in february.,total recovered,guyana,february
3949,there are 0 total recovered cases in guyana in march.,total recovered,guyana,march
3950,there are 0 recovered cases in guyana in march.,total recovered,guyana,march
3951,there are 0 total recovered cases in guyana .,total recovered,guyana,march
3952,there are 0 recovered cases in guyana .,total recovered,guyana,march
3953,there are 0 total recovered cases in holy see in january.,total recovered,holy see,january
3954,there are 0 recovered cases in holy see in january.,total recovered,holy see,january
3955,there are 0 total recovered cases in holy see in february.,total recovered,holy see,february
3956,there are 0 recovered cases in holy see in february.,total recovered,holy see,february
3957,there are 0 total recovered cases in holy see in march.,total recovered,holy see,march
3958,there are 0 recovered cases in holy see in march.,total recovered,holy see,march
3959,there are 0 total recovered cases in holy see .,total recovered,holy see,march
3960,there are 0 recovered cases in holy see .,total recovered,holy see,march
3961,there are 0 total recovered cases in honduras in january.,total recovered,honduras,january
3962,there are 0 recovered cases in honduras in january.,total recovered,honduras,january
3963,there are 0 total recovered cases in honduras in february.,total recovered,honduras,february
3964,there are 0 recovered cases in honduras in february.,total recovered,honduras,february
3965,there are 0 total recovered cases in honduras in march.,total recovered,honduras,march
3966,there are 0 recovered cases in honduras in march.,total recovered,honduras,march
3967,there are 0 total recovered cases in honduras .,total recovered,honduras,march
3968,there are 0 recovered cases in honduras .,total recovered,honduras,march
3969,there are 0 total recovered cases in hungary in january.,total recovered,hungary,january
3970,there are 0 recovered cases in hungary in january.,total recovered,hungary,january
3971,there are 0 total recovered cases in hungary in february.,total recovered,hungary,february
3972,there are 0 recovered cases in hungary in february.,total recovered,hungary,february
3973,there are 7 total recovered cases in hungary in march.,total recovered,hungary,march
3974,there are 7 recovered cases in hungary in march.,total recovered,hungary,march
3975,there are 7 total recovered cases in hungary .,total recovered,hungary,march
3976,there are 7 recovered cases in hungary .,total recovered,hungary,march
3977,there are 0 total recovered cases in iceland in january.,total recovered,iceland,january
3978,there are 0 recovered cases in iceland in january.,total recovered,iceland,january
3979,there are 0 total recovered cases in iceland in february.,total recovered,iceland,february
3980,there are 0 recovered cases in iceland in february.,total recovered,iceland,february
3981,there are 22 total recovered cases in iceland in march.,total recovered,iceland,march
3982,there are 22 recovered cases in iceland in march.,total recovered,iceland,march
3983,there are 22 total recovered cases in iceland .,total recovered,iceland,march
3984,there are 22 recovered cases in iceland .,total recovered,iceland,march
3985,there are 0 total recovered cases in india in january.,total recovered,india,january
3986,there are 0 recovered cases in india in january.,total recovered,india,january
3987,there are 3 total recovered cases in india in february.,total recovered,india,february
3988,there are 3 recovered cases in india in february.,total recovered,india,february
3989,there are 23 total recovered cases in india in march.,total recovered,india,march
3990,there are 23 recovered cases in india in march.,total recovered,india,march
3991,there are 23 total recovered cases in india .,total recovered,india,march
3992,there are 23 recovered cases in india .,total recovered,india,march
3993,there are 0 total recovered cases in indonesia in january.,total recovered,indonesia,january
3994,there are 0 recovered cases in indonesia in january.,total recovered,indonesia,january
3995,there are 0 total recovered cases in indonesia in february.,total recovered,indonesia,february
3996,there are 0 recovered cases in indonesia in february.,total recovered,indonesia,february
3997,there are 15 total recovered cases in indonesia in march.,total recovered,indonesia,march
3998,there are 15 recovered cases in indonesia in march.,total recovered,indonesia,march
3999,there are 15 total recovered cases in indonesia .,total recovered,indonesia,march
4000,there are 15 recovered cases in indonesia .,total recovered,indonesia,march
4001,there are 0 total recovered cases in iran in january.,total recovered,iran,january
4002,there are 0 recovered cases in iran in january.,total recovered,iran,january
4003,there are 123 total recovered cases in iran in february.,total recovered,iran,february
4004,there are 123 recovered cases in iran in february.,total recovered,iran,february
4005,there are 20610 confirmed cases in iran in march.,total confirmed,iran,march
4006,there are 20610 total cases in iran in march.,total confirmed,iran,march
4007,there are 20610 total confirmed cases in iran .,total confirmed,iran,march
4008,there are 20610 cases in iran in march.,total confirmed,iran,march
4009,there are 20610 confirmed cases in iran .,total confirmed,iran,march
4010,there are 20610 total cases in iran .,total confirmed,iran,march
4011,there are 20610 cases in iran .,total confirmed,iran,march
4012,there are 0 total confirmed cases in iraq in january.,total confirmed,iraq,january
4013,there are 0 confirmed cases in iraq in january.,total confirmed,iraq,january
4014,there are 0 total cases in iraq in january.,total confirmed,iraq,january
4015,there are 0 cases in iraq in january.,total confirmed,iraq,january
4016,there are 13 total confirmed cases in iraq in february.,total confirmed,iraq,february
4017,there are 13 confirmed cases in iraq in february.,total confirmed,iraq,february
4018,there are 13 total cases in iraq in february.,total confirmed,iraq,february
4019,there are 13 cases in iraq in february.,total confirmed,iraq,february
4020,there are 214 total confirmed cases in iraq in march.,total confirmed,iraq,march
4021,there are 214 confirmed cases in iraq in march.,total confirmed,iraq,march
4022,there are 214 total cases in iraq in march.,total confirmed,iraq,march
4023,there are 214 total confirmed cases in iraq .,total confirmed,iraq,march
4024,there are 214 cases in iraq in march.,total confirmed,iraq,march
4025,there are 214 confirmed cases in iraq .,total confirmed,iraq,march
4026,there are 214 total cases in iraq .,total confirmed,iraq,march
4027,there are 214 cases in iraq .,total confirmed,iraq,march
4028,there are 0 total confirmed cases in ireland in january.,total confirmed,ireland,january
4029,there are 0 confirmed cases in ireland in january.,total confirmed,ireland,january
4030,there are 0 total cases in ireland in january.,total confirmed,ireland,january
4031,there are 0 cases in ireland in january.,total confirmed,ireland,january
4032,there are 1 total confirmed cases in ireland in february.,total confirmed,ireland,february
4033,there are 1 confirmed cases in ireland in february.,total confirmed,ireland,february
4034,there are 1 total cases in ireland in february.,total confirmed,ireland,february
4035,there are 1 cases in ireland in february.,total confirmed,ireland,february
4036,there are 785 total confirmed cases in ireland in march.,total confirmed,ireland,march
4037,there are 785 confirmed cases in ireland in march.,total confirmed,ireland,march
4038,there are 785 total cases in ireland in march.,total confirmed,ireland,march
4039,there are 785 total confirmed cases in ireland .,total confirmed,ireland,march
4040,there are 785 cases in ireland in march.,total confirmed,ireland,march
4041,there are 785 confirmed cases in ireland .,total confirmed,ireland,march
4042,there are 785 total cases in ireland .,total confirmed,ireland,march
4043,there are 785 cases in ireland .,total confirmed,ireland,march
4044,there are 0 total confirmed cases in israel in january.,total confirmed,israel,january
4045,there are 0 confirmed cases in israel in january.,total confirmed,israel,january
4046,there are 0 total cases in israel in january.,total confirmed,israel,january
4047,there are 0 cases in israel in january.,total confirmed,israel,january
4048,there are 7 total confirmed cases in israel in february.,total confirmed,israel,february
4049,there are 7 confirmed cases in israel in february.,total confirmed,israel,february
4050,there are 7 total cases in israel in february.,total confirmed,israel,february
4051,there are 7 cases in israel in february.,total confirmed,israel,february
4052,there are 883 total confirmed cases in israel in march.,total confirmed,israel,march
4053,there are 883 confirmed cases in israel in march.,total confirmed,israel,march
4054,there are 883 total cases in israel in march.,total confirmed,israel,march
4055,there are 883 total confirmed cases in israel .,total confirmed,israel,march
4056,there are 883 cases in israel in march.,total confirmed,israel,march
4057,there are 883 confirmed cases in israel .,total confirmed,israel,march
4058,there are 883 total cases in israel .,total confirmed,israel,march
4059,there are 883 cases in israel .,total confirmed,israel,march
4060,there are 2 total confirmed cases in italy in january.,total confirmed,italy,january
4061,there are 2 confirmed cases in italy in january.,total confirmed,italy,january
4062,there are 2 total cases in italy in january.,total confirmed,italy,january
4063,there are 2 cases in italy in january.,total confirmed,italy,january
4064,there are 1128 total confirmed cases in italy in february.,total confirmed,italy,february
4065,there are 1128 confirmed cases in italy in february.,total confirmed,italy,february
4066,there are 1128 total cases in italy in february.,total confirmed,italy,february
4067,there are 1128 cases in italy in february.,total confirmed,italy,february
4068,there are 53578 total confirmed cases in italy in march.,total confirmed,italy,march
4069,there are 53578 confirmed cases in italy in march.,total confirmed,italy,march
4070,there are 53578 total cases in italy in march.,total confirmed,italy,march
4071,there are 53578 total confirmed cases in italy .,total confirmed,italy,march
4072,there are 53578 cases in italy in march.,total confirmed,italy,march
4073,there are 53578 confirmed cases in italy .,total confirmed,italy,march
4074,there are 53578 total cases in italy .,total confirmed,italy,march
4075,there are 53578 cases in italy .,total confirmed,italy,march
4076,there are 0 total confirmed cases in jamaica in january.,total confirmed,jamaica,january
4077,there are 0 confirmed cases in jamaica in january.,total confirmed,jamaica,january
4078,there are 0 total cases in jamaica in january.,total confirmed,jamaica,january
4079,there are 0 cases in jamaica in january.,total confirmed,jamaica,january
4080,there are 0 total confirmed cases in jamaica in february.,total confirmed,jamaica,february
4081,there are 0 confirmed cases in jamaica in february.,total confirmed,jamaica,february
4082,there are 0 total cases in jamaica in february.,total confirmed,jamaica,february
4083,there are 0 cases in jamaica in february.,total confirmed,jamaica,february
4084,there are 16 total confirmed cases in jamaica in march.,total confirmed,jamaica,march
4085,there are 16 confirmed cases in jamaica in march.,total confirmed,jamaica,march
4086,there are 16 total cases in jamaica in march.,total confirmed,jamaica,march
4087,there are 16 total confirmed cases in jamaica .,total confirmed,jamaica,march
4088,there are 16 cases in jamaica in march.,total confirmed,jamaica,march
4089,there are 16 confirmed cases in jamaica .,total confirmed,jamaica,march
4090,there are 16 total cases in jamaica .,total confirmed,jamaica,march
4091,there are 16 cases in jamaica .,total confirmed,jamaica,march
4092,there are 15 total confirmed cases in japan in january.,total confirmed,japan,january
4093,there are 15 confirmed cases in japan in january.,total confirmed,japan,january
4094,there are 15 total cases in japan in january.,total confirmed,japan,january
4095,there are 15 cases in japan in january.,total confirmed,japan,january
4096,there are 241 total confirmed cases in japan in february.,total confirmed,japan,february
4097,there are 241 confirmed cases in japan in february.,total confirmed,japan,february
4098,there are 241 total cases in japan in february.,total confirmed,japan,february
4099,there are 241 cases in japan in february.,total confirmed,japan,february
4100,there are 1007 total confirmed cases in japan in march.,total confirmed,japan,march
4101,there are 1007 confirmed cases in japan in march.,total confirmed,japan,march
4102,there are 1007 total cases in japan in march.,total confirmed,japan,march
4103,there are 1007 total confirmed cases in japan .,total confirmed,japan,march
4104,there are 1007 cases in japan in march.,total confirmed,japan,march
4105,there are 1007 confirmed cases in japan .,total confirmed,japan,march
4106,there are 1007 total cases in japan .,total confirmed,japan,march
4107,there are 1007 cases in japan .,total confirmed,japan,march
4108,there are 0 total confirmed cases in jordan in january.,total confirmed,jordan,january
4109,there are 0 confirmed cases in jordan in january.,total confirmed,jordan,january
4110,there are 0 total cases in jordan in january.,total confirmed,jordan,january
4111,there are 0 cases in jordan in january.,total confirmed,jordan,january
4112,there are 0 total confirmed cases in jordan in february.,total confirmed,jordan,february
4113,there are 0 confirmed cases in jordan in february.,total confirmed,jordan,february
4114,there are 0 total cases in jordan in february.,total confirmed,jordan,february
4115,there are 0 cases in jordan in february.,total confirmed,jordan,february
4116,there are 85 total confirmed cases in jordan in march.,total confirmed,jordan,march
4117,there are 85 confirmed cases in jordan in march.,total confirmed,jordan,march
4118,there are 85 total cases in jordan in march.,total confirmed,jordan,march
4119,there are 85 total confirmed cases in jordan .,total confirmed,jordan,march
4120,there are 85 cases in jordan in march.,total confirmed,jordan,march
4121,there are 85 confirmed cases in jordan .,total confirmed,jordan,march
4122,there are 85 total cases in jordan .,total confirmed,jordan,march
4123,there are 85 cases in jordan .,total confirmed,jordan,march
4124,there are 0 total confirmed cases in kazakhstan in january.,total confirmed,kazakhstan,january
4125,there are 0 confirmed cases in kazakhstan in january.,total confirmed,kazakhstan,january
4126,there are 0 total cases in kazakhstan in january.,total confirmed,kazakhstan,january
4127,there are 0 cases in kazakhstan in january.,total confirmed,kazakhstan,january
4128,there are 0 total confirmed cases in kazakhstan in february.,total confirmed,kazakhstan,february
4129,there are 0 confirmed cases in kazakhstan in february.,total confirmed,kazakhstan,february
4130,there are 0 total cases in kazakhstan in february.,total confirmed,kazakhstan,february
4131,there are 0 cases in kazakhstan in february.,total confirmed,kazakhstan,february
4132,there are 53 total confirmed cases in kazakhstan in march.,total confirmed,kazakhstan,march
4133,there are 53 confirmed cases in kazakhstan in march.,total confirmed,kazakhstan,march
4134,there are 53 total cases in kazakhstan in march.,total confirmed,kazakhstan,march
4135,there are 53 total confirmed cases in kazakhstan .,total confirmed,kazakhstan,march
4136,there are 53 cases in kazakhstan in march.,total confirmed,kazakhstan,march
4137,there are 53 confirmed cases in kazakhstan .,total confirmed,kazakhstan,march
4138,there are 53 total cases in kazakhstan .,total confirmed,kazakhstan,march
4139,there are 53 cases in kazakhstan .,total confirmed,kazakhstan,march
4140,there are 0 total confirmed cases in kenya in january.,total confirmed,kenya,january
4141,there are 0 confirmed cases in kenya in january.,total confirmed,kenya,january
4142,there are 0 total cases in kenya in january.,total confirmed,kenya,january
4143,there are 0 cases in kenya in january.,total confirmed,kenya,january
4144,there are 0 total confirmed cases in kenya in february.,total confirmed,kenya,february
4145,there are 0 confirmed cases in kenya in february.,total confirmed,kenya,february
4146,there are 0 total cases in kenya in february.,total confirmed,kenya,february
4147,there are 0 cases in kenya in february.,total confirmed,kenya,february
4148,there are 7 total confirmed cases in kenya in march.,total confirmed,kenya,march
4149,there are 7 confirmed cases in kenya in march.,total confirmed,kenya,march
4150,there are 7 total cases in kenya in march.,total confirmed,kenya,march
4151,there are 7 total confirmed cases in kenya .,total confirmed,kenya,march
4152,there are 7 cases in kenya in march.,total confirmed,kenya,march
4153,there are 7 confirmed cases in kenya .,total confirmed,kenya,march
4154,there are 7 total cases in kenya .,total confirmed,kenya,march
4155,there are 7 cases in kenya .,total confirmed,kenya,march
4156,"there are 11 total confirmed cases in korea, south in january.",total confirmed,"korea, south",january
4157,"there are 11 confirmed cases in korea, south in january.",total confirmed,"korea, south",january
4158,"there are 11 total cases in korea, south in january.",total confirmed,"korea, south",january
4159,"there are 11 cases in korea, south in january.",total confirmed,"korea, south",january
4160,"there are 3150 total confirmed cases in korea, south in february.",total confirmed,"korea, south",february
4161,"there are 3150 confirmed cases in korea, south in february.",total confirmed,"korea, south",february
4162,"there are 3150 total cases in korea, south in february.",total confirmed,"korea, south",february
4163,"there are 3150 cases in korea, south in february.",total confirmed,"korea, south",february
4164,"there are 8799 total confirmed cases in korea, south in march.",total confirmed,"korea, south",march
4165,"there are 8799 confirmed cases in korea, south in march.",total confirmed,"korea, south",march
4166,"there are 8799 total cases in korea, south in march.",total confirmed,"korea, south",march
4167,"there are 8799 total confirmed cases in korea, south .",total confirmed,"korea, south",march
4168,"there are 8799 cases in korea, south in march.",total confirmed,"korea, south",march
4169,"there are 8799 confirmed cases in korea, south .",total confirmed,"korea, south",march
4170,"there are 8799 total cases in korea, south .",total confirmed,"korea, south",march
4171,"there are 8799 cases in korea, south .",total confirmed,"korea, south",march
4172,there are 0 total confirmed cases in kosovo in january.,total confirmed,kosovo,january
4173,there are 0 confirmed cases in kosovo in january.,total confirmed,kosovo,january
4174,there are 0 total cases in kosovo in january.,total confirmed,kosovo,january
4175,there are 0 cases in kosovo in january.,total confirmed,kosovo,january
4176,there are 0 total confirmed cases in kosovo in february.,total confirmed,kosovo,february
4177,there are 0 confirmed cases in kosovo in february.,total confirmed,kosovo,february
4178,there are 0 total cases in kosovo in february.,total confirmed,kosovo,february
4179,there are 0 cases in kosovo in february.,total confirmed,kosovo,february
4180,there are 2 total confirmed cases in kosovo in march.,total confirmed,kosovo,march
4181,there are 2 confirmed cases in kosovo in march.,total confirmed,kosovo,march
4182,there are 2 total cases in kosovo in march.,total confirmed,kosovo,march
4183,there are 2 total confirmed cases in kosovo .,total confirmed,kosovo,march
4184,there are 2 cases in kosovo in march.,total confirmed,kosovo,march
4185,there are 2 confirmed cases in kosovo .,total confirmed,kosovo,march
4186,there are 2 total cases in kosovo .,total confirmed,kosovo,march
4187,there are 2 cases in kosovo .,total confirmed,kosovo,march
4188,there are 0 total confirmed cases in kuwait in january.,total confirmed,kuwait,january
4189,there are 0 confirmed cases in kuwait in january.,total confirmed,kuwait,january
4190,there are 0 total cases in kuwait in january.,total confirmed,kuwait,january
4191,there are 0 cases in kuwait in january.,total confirmed,kuwait,january
4192,there are 45 total confirmed cases in kuwait in february.,total confirmed,kuwait,february
4193,there are 45 confirmed cases in kuwait in february.,total confirmed,kuwait,february
4194,there are 45 total cases in kuwait in february.,total confirmed,kuwait,february
4195,there are 45 cases in kuwait in february.,total confirmed,kuwait,february
4196,there are 176 total confirmed cases in kuwait in march.,total confirmed,kuwait,march
4197,there are 176 confirmed cases in kuwait in march.,total confirmed,kuwait,march
4198,there are 176 total cases in kuwait in march.,total confirmed,kuwait,march
4199,there are 176 total confirmed cases in kuwait .,total confirmed,kuwait,march
4200,there are 176 cases in kuwait in march.,total confirmed,kuwait,march
4201,there are 176 confirmed cases in kuwait .,total confirmed,kuwait,march
4202,there are 176 total cases in kuwait .,total confirmed,kuwait,march
4203,there are 176 cases in kuwait .,total confirmed,kuwait,march
4204,there are 0 total confirmed cases in latvia in january.,total confirmed,latvia,january
4205,there are 0 confirmed cases in latvia in january.,total confirmed,latvia,january
4206,there are 0 total cases in latvia in january.,total confirmed,latvia,january
4207,there are 0 cases in latvia in january.,total confirmed,latvia,january
4208,there are 0 total confirmed cases in latvia in february.,total confirmed,latvia,february
